Y-Tunnus;Nimi;Luvan alkupvm;Olut;Viini;Hedelmäviini;Tislatut alkoholijuomat;Väkiviina;Käsityöläisoluen vähittäismyyntilupa;Tilaviinin vähittäismyyntilupa
0107011-5;Berner Oy;03.02.2014;;;;;X;;
0170318-9;Olvi Oyj;17.02.1995;X;;X;X;;;
0171079-2;Alahovin Viinitila Oy;25.02.1995;X;X;X;X;;;X
0171110-3;Oy Gust. Ranin Lignell & Piispanen;20.01.1995;;;X;X;;;
0213454-7;Oy Hartwall Ab;01.01.1995;X;;X;X;;;
0213834-5;Keski-Uudenmaan koulutuskunta-;18.06.2009;X;;X;;;;
0585180-8;Oy FF-Chemicals Ab;31.05.2007;;;;;X;;
0600092-5;Lammin Sahti Oy;01.01.1995;X;;X;X;;;X
0620035-3;Kaskein Marja Oy;23.04.2008;;X;X;X;;;
0665108-2;Joutsan Sahti Oy;07.05.1992;X;;;;;;
0689601-2;Terissaari Oy;16.12.2016;;;X;;;;
0724606-2;Rönnvik Oy;02.03.1995;;;X;X;;;X
0800766-1;Oy Nagu Distillery Ab;17.10.1996;;;;X;;;
0826740-4;Hermannin Viinitila Oy;03.03.1995;;;X;X;;;X
0849203-8;Finn Spring Oy;29.11.2005;X;;X;;;;
0851271-3;Matti Punakallio Ky;08.01.1996;X;;;;;;
0872399-1;Nokian Panimo Oy;01.01.1995;X;X;X;X;;;
0894365-2;Finlandia Sahti Ky;01.01.1995;X;;;;;X;X
0927611-8;Fysioline Oy;08.06.2007;;;;;X;;
0956492-9;Turun Panimo Oy;01.01.1995;X;;X;X;X;X;
0958348-4;Rakuuna Olut Oy;26.04.2013;X;;X;X;;X;
0961012-0;Pramia Oy;02.12.1991;X;;X;X;;;
0964080-5;Laitilan Wirvoitusjuomatehdas Oy;21.03.1997;X;;X;X;;;
0968663-5;Koskipanimo Oy;27.06.1996;X;;X;;;X;
0969953-2;Tornion Panimo Oy;31.05.2001;X;X;X;X;;X;
0998847-3;Tyry Oy;13.04.1995;;;X;X;;;X
0998922-2;Bitter-B Oy;29.06.1995;X;;X;;;;
1004126-0;Refresco Finland Oy;20.11.2003;X;X;X;X;;;
1009978-8;Ollinmäen Viinitila Oy;30.03.1995;;;X;X;;;X
1011290-3;Marjajaloste Meritalo Oy;10.04.2018;X;;X;X;;;
1026154-6;Ciderberg Oy;29.08.1995;;;X;X;;;X
1061137-4;Tammiluodon Viinitila Oy;11.03.1997;;;X;X;;;X
1085835-0;Tjudö Vingård Ab;09.04.1997;;;X;X;;;X
